rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
784,292,5,3,0.5,2,0.05,0.3,-16.97993461,8302.00653885,-16.98469393,4166,1748.19216107,-0.29111906,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
785,60,3,3,0.4,2,0.08,0.3,-16.98049319,8301.95068054,-17.08010925,3633,1755.1113696,-0.24630468,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
786,100,3,3,0.6,3,0.05,0.3,-17.0365953,8296.34047013,-17.04509793,3681,1616.86390673,-0.30857007,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
787,130,3,3.5,0.5,2,0.05,0.3,-17.06986916,8293.0130836,-17.08339123,4030,1757.53150349,-0.30318209,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
788,26,3,2.5,0.5,3,0.03,0.3,-17.07114025,8292.88597516,-17.07255526,3966,1684.04264737,-0.29620921,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
789,494,8,3,0.4,3,0.03,0.3,-17.07198317,8292.80168347,-17.07419201,4162,1665.43389952,-0.27849391,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
790,78,3,3,0.5,2,0.08,0.3,-17.09436949,8290.56305065,-17.11599498,3787,1812.8268998,-0.26501458,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
791,242,5,2.5,0.5,3,0.03,0.3,-17.10156412,8289.84358828,-17.10156412,4389,1799.86785225,-0.29081769,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
792,692,13,2.5,0.6,3,0.03,0.3,-17.11114116,8288.88588439,-17.11577262,4599,1827.45550783,-0.27482018,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
793,164,3,4,0.4,2,0.03,0.3,-17.26981322,8273.01867841,-17.32498266,4553,1807.1425995,-0.29596787,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
794,830,13,4,0.5,2,0.03,0.3,-17.27560491,8272.43950939,-17.27560491,4510,1672.22897427,-0.32122101,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
795,436,8,2.5,0.4,2,0.05,0.3,-17.28677738,8271.32226164,-17.29122922,4213,1819.35389614,-0.30071367,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
796,310,5,3,0.6,2,0.05,0.3,-17.29540825,8270.45917483,-17.34783677,4303,1850.66188413,-0.27328978,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
797,380,5,4,0.4,2,0.03,0.3,-17.33794285,8266.2057151,-17.38697195,4858,1852.67535726,-0.29128904,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
798,96,3,3,0.6,2,0.08,0.3,-17.36523322,8263.47667772,-17.38678806,3895,1822.56789282,-0.26825908,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
799,438,8,2.5,0.4,2,0.08,0.3,-17.38204342,8261.79565823,-17.38915793,3619,1750.60838041,-0.28498464,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
