rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
96,506,13,3,0.4,4,0.03,0.3,0.1,5,60,0.8,0.4,60,-0.51940294,9948.05970558,-0.56003235,407,67.96488822,-0.03319572,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
97,511,13,3,0.4,4,0.03,0.3,0.1,5,60,0.8,1.2,30,-0.52545759,9947.45424109,-0.60332196,310,57.2432561,-0.03512505,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
98,427,13,3,0.4,4,0.03,0.3,0.05,20,60,0.8,0.8,30,-0.53393856,9946.60614411,-0.62031946,407,67.59185819,-0.05187507,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
99,590,13,3,0.4,4,0.03,0.3,0.1,10,60,0.8,0.8,60,-0.53487143,9946.51285725,-0.6096895,382,67.23156169,-0.03722424,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
100,591,13,3,0.4,4,0.03,0.3,0.1,10,60,0.8,0.8,100,-0.53487143,9946.51285725,-0.6096895,382,67.23156169,-0.03722424,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
101,704,13,3,0.4,4,0.03,0.3,0.1,20,240,0.3,0.4,60,-0.53488594,9946.51140596,-0.55211245,285,39.75245932,-0.06059305,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
102,705,13,3,0.4,4,0.03,0.3,0.1,20,240,0.3,0.4,100,-0.53488594,9946.51140596,-0.55211245,285,39.75245932,-0.06059305,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
103,574,13,3,0.4,4,0.03,0.3,0.1,10,60,0.3,1.2,30,-0.54024932,9945.97506843,-0.58193464,290,45.26244013,-0.05340132,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
104,235,13,3,0.4,4,0.03,0.3,0.03,20,240,0.8,0.4,30,-0.54264499,9945.73550145,-0.65478903,448,98.74243542,-0.04338303,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
105,508,13,3,0.4,4,0.03,0.3,0.1,5,60,0.8,0.8,30,-0.54385023,9945.61497691,-0.6217002,308,55.32319661,-0.03563951,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
106,677,13,3,0.4,4,0.03,0.3,0.1,20,120,0.3,0.4,60,-0.54798287,9945.20171335,-0.5652071,281,37.8296323,-0.06305971,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
